Tempo,numero_eventi,energia_max,energia_media,energia_std,energia_min,eventi_ultime_6h,energia_max_ultime_6h,energia_media_ultime_6h,energia_std_ultime_6h,eventi_ultime_12h,energia_max_ultime_12h,energia_media_ultime_12h,energia_std_ultime_12h,eventi_ultime_24h,energia_max_ultime_24h,energia_media_ultime_24h,energia_std_ultime_24h,eventi_ultime_48h,energia_max_ultime_48h,energia_media_ultime_48h,energia_std_ultime_48h,trend_eventi_12h,trend_energia_12h,trend_eventi_24h,trend_energia_24h,varianza_eventi_24h,varianza_energia_24h,ora_del_giorno,giorno_della_settimana,is_notte,is_weekend,event_rate_1h,event_rate_6h,energia_rate_1h,max_energia_futura,Target_Allarme,future_events_above_threshold,bvalue_approx,event_count,bvalue_rolling_24h,bvalue_std_24h,bvalue_change,energia_p25_24h,energia_p50_24h,energia_p75_24h,energia_p90_24h,energia_p95_24h,skewness_eventi_24h,kurtosis_eventi_24h,entropy_24h,autocorr_1h,autocorr_6h
2026-01-01 22:00:00,98,17.0,4.857142857142857,2.1965295964409948,3.0,517.0,17.0,4.878031063512007,2.343810463795348,702.0,17.0,5.487324777206923,3.0812404374641686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97202797202797,5.071173435440658e-16,0.0,0.0,0.0,0.0,22,3,1,0,0.0,27.0,0.0,17.0,0,0.0,4.857142857142857,98.0,,,0.07142857142857117,,,,,,0.2642393235925421,-0.9654435412886224,,0.9745352296211712,0.8378163647101731
2026-01-01 23:00:00,109,17.0,4.972477064220183,2.1962034395930154,3.0,546.0,17.0,4.906777240882039,2.3073206860528823,794.0,17.0,5.416403748244879,2.931921259833517,1250.0,17.0,5.499470563601366,3.1731959963922147,0.0,0.0,0.0,0.0,9.027972027972027,5.071173435440658e-16,2.743478260869565,4.652734942543909e-16,868.6884057971014,0.0,23,3,1,0,11.0,29.0,0.0,17.0,0,0.0,4.972477064220183,109.0,5.499470563601366,0.9304637887032164,0.11533420707732667,17.0,17.0,17.0,17.0,17.0,0.31642473333254884,-0.9088393119175979,4.350579702414057,0.9745352296211712,0.8378163647101731
2026-01-02 00:00:00,130,17.0,5.076923076923077,2.1731818012591106,3.0,598.0,17.0,4.93882852293332,2.2756791325828245,916.0,17.0,5.151980671321803,2.686354006665647,1358.0,17.0,5.392827206958009,3.058996127802659,0.0,0.0,0.0,0.0,8.83916083916084,5.071173435440658e-16,3.195652173913043,4.652734942543909e-16,1072.1666666666665,0.0,0,4,1,0,21.0,52.0,0.0,17.0,0,0.0,5.076923076923077,130.0,5.392827206958009,0.8143237490386832,0.10444601270289322,17.0,17.0,17.0,17.0,17.0,0.453908645723003,-0.45123801594462964,4.342307405719794,0.9745352296211712,0.8378163647101731
2026-01-02 01:00:00,145,17.0,5.075862068965518,2.1215912483999735,3.0,667.0,17.0,4.969016060743362,2.232457958066926,1046.0,17.0,5.019413621513373,2.514307865050789,1467.0,17.0,5.37746960797972,3.0008602277377636,0.0,0.0,0.0,0.0,8.692307692307692,5.071173435440658e-16,3.856086956521739,4.652734942543909e-16,1372.1141304347825,0.0,1,4,1,0,15.0,69.0,0.0,17.0,0,0.0,5.075862068965518,145.0,5.37746960797972,0.8167798620164053,-0.0010610079575590348,17.0,17.0,17.0,17.0,17.0,0.563331179712932,-0.23202779158622633,4.32152589919451,0.9745352296211712,0.8378163647101731
2026-01-02 02:00:00,155,17.0,5.038709677419355,2.054086427473079,3.0,735.0,17.0,4.967804838397546,2.165050580688139,1181.0,17.0,4.9351394279649865,2.3304067892779257,1571.0,17.0,5.3586576746042205,2.9540618478501472,0.0,0.0,0.0,0.0,8.248251748251748,5.071173435440658e-16,4.684782608695651,4.652734942543909e-16,1731.2155797101448,0.0,2,4,1,0,10.0,68.0,0.0,17.0,0,0.0,5.038709677419355,155.0,5.3586576746042205,0.8192661772218814,-0.037152391546162455,17.0,17.0,17.0,17.0,17.0,0.6007727536105382,-0.34271417439990826,4.296849211957739,0.9745352296211712,0.8378163647101731
2026-01-02 03:00:00,178,17.0,4.99438202247191,1.958603189036606,3.0,815.0,17.0,5.002582794523817,2.1166992837004632,1305.0,17.0,4.939300892800609,2.258803288347097,1708.0,17.0,5.347244730418598,2.9032435817477786,0.0,0.0,0.0,0.0,9.29020979020979,5.071173435440658e-16,5.544347826086956,4.652734942543909e-16,2221.8840579710145,0.0,3,4,1,0,23.0,80.0,0.0,17.0,0,0.0,4.99438202247191,178.0,5.347244730418598,0.8224813300947089,-0.04432765494744473,17.0,17.0,17.0,17.0,17.0,0.6670011839314642,-0.22619052705692555,4.273975049439806,0.9745352296211712,0.8378163647101731
2026-01-02 04:00:00,124,17.0,4.725806451612903,1.9436731201533906,3.0,841.0,17.0,4.9806933936021585,2.0745565376525295,1358.0,17.0,4.929362228557083,2.2091835007239387,1791.0,17.0,5.319559836634177,2.8551715229626424,0.0,0.0,0.0,0.0,8.16083916083916,5.071173435440658e-16,5.744782608695652,4.652734942543909e-16,2291.2010869565215,0.0,4,4,1,0,-54.0,26.0,0.0,17.0,0,0.0,4.725806451612903,124.0,5.319559836634177,0.8320973790072876,-0.2685755708590074,17.0,17.0,17.0,17.0,17.0,0.47573353848631106,-0.5468989972165952,4.2831699985495435,0.9745352296211712,0.8378163647101731
2026-01-02 05:00:00,104,17.0,4.875,2.1841774350911063,3.0,836.0,17.0,4.964447216232127,2.0725522035688777,1382.0,17.0,4.9356122285570825,2.1899364448108796,1844.0,17.0,5.320887451013262,2.839991009719315,0.0,0.0,0.0,0.0,6.300699300699302,5.071173435440658e-16,5.781739130434781,4.652734942543909e-16,2299.362318840579,0.0,5,4,1,0,-20.0,-5.0,0.0,17.0,0,0.0,4.875,104.0,5.320887451013262,0.8313292597843741,0.14919354838709697,17.0,17.0,17.0,17.0,17.0,0.33894814807147955,-0.6536042818938639,4.2917222115767,0.9745352296211712,0.8378163647101731
2026-01-02 06:00:00,91,17.0,4.846153846153846,2.1803316614327635,3.0,797.0,17.0,4.925985677770589,2.073743846931153,1395.0,17.0,4.932407100351955,2.174711489756989,1882.0,17.0,5.312118704036968,2.8103492925398914,0.0,0.0,0.0,0.0,3.6818181818181857,5.071173435440658e-16,5.664347826086956,4.652734942543909e-16,2280.77536231884,0.0,6,4,0,0,-13.0,-39.0,0.0,17.0,0,0.0,4.846153846153846,91.0,5.312118704036968,0.8353383206627577,-0.028846153846154188,17.0,17.0,17.0,17.0,17.0,0.24168879780415575,-0.6578732108340524,4.3001792483809975,0.9745352296211712,0.8378163647101731
2026-01-02 07:00:00,100,17.0,4.87,2.316628515055376,3.0,752.0,17.0,4.891675332943002,2.106250058040387,1419.0,17.0,4.930345696843182,2.169354008053656,1926.0,17.0,5.300005608798872,2.7901609921689974,0.0,0.0,0.0,0.0,1.2272727272727317,5.071173435440658e-16,5.636521739130434,4.652734942543909e-16,2275.6739130434776,0.0,7,4,0,0,9.0,-45.0,0.0,17.0,0,0.0,4.87,100.0,5.300005608798872,0.8397255434133205,0.023846153846154294,17.0,17.0,17.0,17.0,17.0,0.12597631467446957,-0.6803613169488836,4.307690941220061,0.9745352296211712,0.8378163647101731
